bones,Type,Id,HandId,TipPosition_X,TipPosition_Y,TipPosition_Z,Direction_X,Direction_Y,Direction_Z,Width,Length,IsExtended,TimeVisible
Leap.Bone[],TYPE_THUMB,520,52,-0.008650017, -0.1497464, 0.256,0.08159535, -0.5404125, 0.8374345,0.01988613,0.04619063,False,0
Leap.Bone[],TYPE_THUMB,520,52,-0.008650017, -0.1497464, 0.256,0.08159535, -0.5404125, 0.8374345,0.01988613,0.04619063,False,0
Leap.Bone[],TYPE_THUMB,520,52,-0.002057311, -0.158658, 0.2674156,0.1803257, -0.6244268, 0.7599827,0.02039414,0.04490348,False,0.044453
Leap.Bone[],TYPE_THUMB,520,52,-0.01016894, -0.1523248, 0.2738611,0.06669072, -0.5437686, 0.8365813,0.02039414,0.04497003,False,0.065011
Leap.Bone[],TYPE_THUMB,520,52,-0.008801727, -0.153929, 0.277184,0.07622176, -0.5470763, 0.8336056,0.02039414,0.04476679,False,0.104936
Leap.Bone[],TYPE_THUMB,520,52,-0.008801727, -0.153929, 0.277184,0.07622176, -0.5470763, 0.8336056,0.02039414,0.04476679,False,0.104936
Leap.Bone[],TYPE_THUMB,520,52,-0.006889073, -0.1547989, 0.2790274,0.1049232, -0.5584698, 0.8228629,0.02039414,0.04475844,False,0.124259
Leap.Bone[],TYPE_THUMB,520,52,-0.007038713, -0.1549095, 0.2806368,0.1049721, -0.5615234, 0.8207757,0.02039414,0.04477107,False,0.144728
Leap.Bone[],TYPE_THUMB,520,52,-0.007038713, -0.1549095, 0.2806368,0.1049721, -0.5615234, 0.8207757,0.02039414,0.04477107,False,0.144728
Leap.Bone[],TYPE_THUMB,520,52,-0.007182971, -0.1540408, 0.2819043,0.1126173, -0.5631891, 0.8186178,0.02039414,0.04480999,False,0.164186
Leap.Bone[],TYPE_THUMB,520,52,-0.007182971, -0.1540408, 0.2819043,0.1126173, -0.5631891, 0.8186178,0.02039414,0.04480999,False,0.164186
Leap.Bone[],TYPE_THUMB,520,52,-0.006547077, -0.1544438, 0.2830384,0.1230896, -0.5593573, 0.8197372,0.02039414,0.04480725,False,0.184101
Leap.Bone[],TYPE_THUMB,520,52,-0.006633172, -0.1542055, 0.2840669,0.1220111, -0.5500399, 0.8261774,0.02039414,0.04476089,False,0.204474
Leap.Bone[],TYPE_THUMB,520,52,-0.006633172, -0.1542055, 0.2840669,0.1220111, -0.5500399, 0.8261774,0.02039414,0.04476089,False,0.204474
Leap.Bone[],TYPE_THUMB,520,52,-0.007184734, -0.1532419, 0.2850315,0.1223167, -0.5460774, 0.8287573,0.02039414,0.04471208,False,0.223977
Leap.Bone[],TYPE_THUMB,520,52,-0.007184734, -0.1532419, 0.2850315,0.1223167, -0.5460774, 0.8287573,0.02039414,0.04471208,False,0.223977
Leap.Bone[],TYPE_THUMB,520,52,-0.007588767, -0.1540353, 0.2854464,0.1243183, -0.5502789, 0.8256739,0.02039414,0.04470509,False,0.243957
Leap.Bone[],TYPE_THUMB,520,52,-0.008196801, -0.1549031, 0.2867697,0.1263918, -0.5576032, 0.8204283,0.02039414,0.04471746,False,0.264662
Leap.Bone[],TYPE_THUMB,520,52,-0.008196801, -0.1549031, 0.2867697,0.1263918, -0.5576032, 0.8204283,0.02039414,0.04471746,False,0.264662
Leap.Bone[],TYPE_THUMB,520,52,-0.009185486, -0.1542427, 0.2868431,0.1134977, -0.5563958, 0.8231294,0.02039414,0.04467772,False,0.283809
Leap.Bone[],TYPE_THUMB,520,52,-0.009185486, -0.1542427, 0.2868431,0.1134977, -0.5563958, 0.8231294,0.02039414,0.04467772,False,0.283809
Leap.Bone[],TYPE_THUMB,520,52,-0.009518261, -0.1535791, 0.2875898,0.1121007, -0.5510911, 0.8268812,0.02039414,0.04467222,False,0.303829
Leap.Bone[],TYPE_THUMB,520,52,-0.009518261, -0.1535791, 0.2875898,0.1121007, -0.5510911, 0.8268812,0.02039414,0.04467222,False,0.303829
Leap.Bone[],TYPE_THUMB,520,52,-0.009915452, -0.1518458, 0.2889794,0.1098789, -0.5373465, 0.8361729,0.02039414,0.04464875,False,0.323832
Leap.Bone[],TYPE_THUMB,520,52,-0.01044274, -0.150697, 0.289676,0.1080788, -0.5330158, 0.8391749,0.02039414,0.0446397,False,0.3443
Leap.Bone[],TYPE_THUMB,520,52,-0.01044274, -0.150697, 0.289676,0.1080788, -0.5330158, 0.8391749,0.02039414,0.0446397,False,0.3443
Leap.Bone[],TYPE_THUMB,520,52,-0.01076528, -0.1500898, 0.2901204,0.1088608, -0.5327129, 0.839265,0.02039414,0.04462053,False,0.363741
Leap.Bone[],TYPE_THUMB,520,52,-0.01076528, -0.1500898, 0.2901204,0.1088608, -0.5327129, 0.839265,0.02039414,0.04462053,False,0.363741
Leap.Bone[],TYPE_THUMB,520,52,-0.01075751, -0.150187, 0.2904264,0.1155218, -0.537523, 0.8352987,0.02039414,0.04461879,False,0.383704
Leap.Bone[],TYPE_THUMB,520,52,-0.01085471, -0.1504223, 0.2910897,0.1210992, -0.5421715, 0.8314961,0.02039414,0.04463398,False,0.404515
Leap.Bone[],TYPE_THUMB,520,52,-0.01085471, -0.1504223, 0.2910897,0.1210992, -0.5421715, 0.8314961,0.02039414,0.04463398,False,0.404515
Leap.Bone[],TYPE_THUMB,520,52,-0.01093295, -0.1499326, 0.292052,0.1252951, -0.5372801, 0.8340448,0.02039414,0.04463729,False,0.423625
Leap.Bone[],TYPE_THUMB,520,52,-0.01093295, -0.1499326, 0.292052,0.1252951, -0.5372801, 0.8340448,0.02039414,0.04463729,False,0.423625
Leap.Bone[],TYPE_THUMB,520,52,-0.01076717, -0.1493624, 0.2929762,0.132915, -0.5329721, 0.8356281,0.02039414,0.04461423,False,0.443548
Leap.Bone[],TYPE_THUMB,520,52,-0.01121188, -0.1484058, 0.2937731,0.1316522, -0.5282153, 0.8388426,0.02039414,0.04460194,False,0.464096
Leap.Bone[],TYPE_THUMB,520,52,-0.01121188, -0.1484058, 0.2937731,0.1316522, -0.5282153, 0.8388426,0.02039414,0.04460194,False,0.464096
Leap.Bone[],TYPE_THUMB,520,52,-0.01180448, -0.1462795, 0.2948783,0.1245832, -0.5090823, 0.8516538,0.02039414,0.04455803,False,0.483506
Leap.Bone[],TYPE_THUMB,520,52,-0.01180448, -0.1462795, 0.2948783,0.1245832, -0.5090823, 0.8516538,0.02039414,0.04455803,False,0.483506
Leap.Bone[],TYPE_THUMB,520,52,-0.01210308, -0.144711, 0.2958808,0.121985, -0.4910748, 0.8625346,0.02039414,0.04453212,False,0.503518
Leap.Bone[],TYPE_THUMB,520,52,-0.01210308, -0.144711, 0.2958808,0.121985, -0.4910748, 0.8625346,0.02039414,0.04453212,False,0.503518
Leap.Bone[],TYPE_THUMB,520,52,-0.01270415, -0.1438994, 0.2965651,0.117019, -0.4795882, 0.8696558,0.02039414,0.04451588,False,0.523549
Leap.Bone[],TYPE_THUMB,520,52,-0.01308869, -0.1433637, 0.2970197,0.1161874, -0.4813241, 0.8688087,0.02039414,0.04451598,False,0.5439
Leap.Bone[],TYPE_THUMB,520,52,-0.01308869, -0.1433637, 0.2970197,0.1161874, -0.4813241, 0.8688087,0.02039414,0.04451598,False,0.5439
Leap.Bone[],TYPE_THUMB,520,52,-0.01306222, -0.1428486, 0.2974485,0.1206433, -0.4861475, 0.8655089,0.02039414,0.04452466,False,0.56348
Leap.Bone[],TYPE_THUMB,520,52,-0.01302613, -0.1425404, 0.2978816,0.1236416, -0.4901703, 0.8628134,0.02039414,0.04452235,False,0.584021
Leap.Bone[],TYPE_THUMB,520,52,-0.01302613, -0.1425404, 0.2978816,0.1236416, -0.4901703, 0.8628134,0.02039414,0.04452235,False,0.584021
Leap.Bone[],TYPE_THUMB,520,52,-0.0125469, -0.1424536, 0.2977162,0.1297089, -0.4995129, 0.8565413,0.02039414,0.04453222,False,0.60336
Leap.Bone[],TYPE_THUMB,520,52,-0.0125469, -0.1424536, 0.2977162,0.1297089, -0.4995129, 0.8565413,0.02039414,0.04453222,False,0.60336
Leap.Bone[],TYPE_THUMB,520,52,-0.01221772, -0.1420618, 0.2978219,0.1339944, -0.5022002, 0.8543068,0.02039414,0.04454144,False,0.6233
Leap.Bone[],TYPE_THUMB,520,52,-0.01221772, -0.1420618, 0.2978219,0.1339944, -0.5022002, 0.8543068,0.02039414,0.04454144,False,0.6233
Leap.Bone[],TYPE_THUMB,520,52,-0.01176076, -0.1410788, 0.2981139,0.1392296, -0.4962087, 0.8569666,0.02039414,0.04454287,False,0.643278
Leap.Bone[],TYPE_THUMB,520,52,-0.01176076, -0.1410788, 0.2981139,0.1392296, -0.4962087, 0.8569666,0.02039414,0.04454287,False,0.643278
Leap.Bone[],TYPE_THUMB,520,52,-0.01126405, -0.1397399, 0.2984048,0.1455167, -0.4831407, 0.8633653,0.02039414,0.04452118,False,0.663269
Leap.Bone[],TYPE_THUMB,520,52,-0.01123086, -0.1384881, 0.2985863,0.1473365, -0.4763085, 0.8668454,0.02039414,0.04451468,False,0.683734
Leap.Bone[],TYPE_THUMB,520,52,-0.01123086, -0.1384881, 0.2985863,0.1473365, -0.4763085, 0.8668454,0.02039414,0.04451468,False,0.683734
Leap.Bone[],TYPE_THUMB,520,52,-0.01108318, -0.1374817, 0.2987615,0.1488154, -0.4607147, 0.8749837,0.02039414,0.0444799,False,0.703263
Leap.Bone[],TYPE_THUMB,520,52,-0.01122985, -0.1370583, 0.2987841,0.1477603, -0.4577442, 0.8767193,0.02039414,0.04447319,False,0.723777
Leap.Bone[],TYPE_THUMB,520,52,-0.01122985, -0.1370583, 0.2987841,0.1477603, -0.4577442, 0.8767193,0.02039414,0.04447319,False,0.723777
Leap.Bone[],TYPE_THUMB,520,52,-0.01126576, -0.1368906, 0.2989879,0.1479166, -0.4494896, 0.8809537,0.02039414,0.04445909,False,0.743241
Leap.Bone[],TYPE_THUMB,520,52,-0.01124581, -0.1366228, 0.2991281,0.1491619, -0.4455496, 0.882744,0.02039414,0.04445429,False,0.763779
Leap.Bone[],TYPE_THUMB,520,52,-0.01124581, -0.1366228, 0.2991281,0.1491619, -0.4455496, 0.882744,0.02039414,0.04445429,False,0.763779
Leap.Bone[],TYPE_THUMB,520,52,-0.01030842, -0.136897, 0.2995278,0.1607651, -0.4321367, 0.8873627,0.02039414,0.04442754,False,0.783194
Leap.Bone[],TYPE_THUMB,520,52,-0.009592691, -0.1375324, 0.2998048,0.170232, -0.4243636, 0.8893458,0.02039414,0.0444043,False,0.803929
Leap.Bone[],TYPE_THUMB,520,52,-0.009592691, -0.1375324, 0.2998048,0.170232, -0.4243636, 0.8893458,0.02039414,0.0444043,False,0.803929
