bones,Type,Id,HandId,TipPosition_X,TipPosition_Y,TipPosition_Z,Direction_X,Direction_Y,Direction_Z,Width,Length,IsExtended,TimeVisible
Leap.Bone[],TYPE_PINKY,674,67,0.02212587, -0.2023534, 0.2684571,-0.3067791, -0.1313798, -0.9426694,0.01721375,0.04677376,False,0.033856
Leap.Bone[],TYPE_PINKY,674,67,0.02212587, -0.2023534, 0.2684571,-0.3067791, -0.1313798, -0.9426694,0.01721375,0.04677376,False,0.033856
Leap.Bone[],TYPE_PINKY,674,67,0.01486564, -0.1634027, 0.2595053,-0.2608165, -0.01752391, -0.965229,0.01681941,0.04472301,False,0.05382
Leap.Bone[],TYPE_PINKY,674,67,0.01517572, -0.1641521, 0.264904,-0.2538413, -0.07354179, -0.9644465,0.01681941,0.04472816,False,0.074453
Leap.Bone[],TYPE_PINKY,674,67,0.01423257, -0.1647719, 0.2687392,-0.2550881, -0.1254081, -0.9587508,0.01681941,0.04469825,False,0.094309
Leap.Bone[],TYPE_PINKY,674,67,0.01466589, -0.1649771, 0.2716516,-0.2526366, -0.1147186, -0.9607365,0.01681941,0.0447178,False,0.114096
Leap.Bone[],TYPE_PINKY,674,67,0.01473964, -0.165731, 0.2752229,-0.2759768, -0.1251714, -0.9529788,0.01681941,0.04469612,False,0.134252
Leap.Bone[],TYPE_PINKY,674,67,0.01554015, -0.1669957, 0.2782606,-0.2732289, -0.1180021, -0.9546835,0.01681941,0.04469837,False,0.154065
Leap.Bone[],TYPE_PINKY,674,67,0.01554015, -0.1669957, 0.2782606,-0.2732289, -0.1180021, -0.9546835,0.01681941,0.04469837,False,0.154065
Leap.Bone[],TYPE_PINKY,674,67,0.01567237, -0.1647017, 0.2809823,-0.2713037, -0.1053634, -0.9567102,0.01681941,0.04470683,False,0.173582
Leap.Bone[],TYPE_PINKY,674,67,0.01567237, -0.1647017, 0.2809823,-0.2713037, -0.1053634, -0.9567102,0.01681941,0.04470683,False,0.173582
Leap.Bone[],TYPE_PINKY,674,67,0.01636658, -0.1649792, 0.2842761,-0.2602468, -0.1138164, -0.9588103,0.01681941,0.04470555,False,0.19355
Leap.Bone[],TYPE_PINKY,674,67,0.01647045, -0.1635786, 0.2877657,-0.2617436, -0.1103243, -0.9588108,0.01681941,0.04470087,False,0.213975
Leap.Bone[],TYPE_PINKY,674,67,0.0167399, -0.1644624, 0.2898676,-0.273865, -0.1174752, -0.9545678,0.01681941,0.04471056,False,0.234076
Leap.Bone[],TYPE_PINKY,674,67,0.0167399, -0.1644624, 0.2898676,-0.273865, -0.1174752, -0.9545678,0.01681941,0.04471056,False,0.234076
Leap.Bone[],TYPE_PINKY,674,67,0.01655297, -0.1621494, 0.2924328,-0.2747064, -0.1134384, -0.9548135,0.01681941,0.04471258,False,0.253463
Leap.Bone[],TYPE_PINKY,674,67,0.01665495, -0.1631485, 0.2940292,-0.2817537, -0.1142973, -0.9526545,0.01681941,0.04472179,False,0.274312
Leap.Bone[],TYPE_PINKY,674,67,0.01665495, -0.1631485, 0.2940292,-0.2817537, -0.1142973, -0.9526545,0.01681941,0.04472179,False,0.274312
Leap.Bone[],TYPE_PINKY,674,67,0.01633732, -0.1620359, 0.296448,-0.2862202, -0.1151951, -0.951215,0.01681941,0.0447131,False,0.293409
Leap.Bone[],TYPE_PINKY,674,67,0.01633732, -0.1620359, 0.296448,-0.2862202, -0.1151951, -0.951215,0.01681941,0.0447131,False,0.293409
Leap.Bone[],TYPE_PINKY,674,67,0.01638288, -0.1621619, 0.2969282,-0.2925573, -0.103119, -0.9506726,0.01681941,0.04471838,False,0.313332
Leap.Bone[],TYPE_PINKY,674,67,0.01644821, -0.1616182, 0.2985885,-0.2912871, -0.1047814, -0.9508801,0.01681941,0.0447162,False,0.333797
Leap.Bone[],TYPE_PINKY,674,67,0.01644821, -0.1616182, 0.2985885,-0.2912871, -0.1047814, -0.9508801,0.01681941,0.0447162,False,0.333797
Leap.Bone[],TYPE_PINKY,674,67,0.01659088, -0.159747, 0.3002636,-0.281894, -0.1002349, -0.9541952,0.01681941,0.04471435,False,0.353226
